topic_id,source,n,mean_v_score,max_v_score,pct_valid_all_8,pct_pass_v1,pct_pass_v2,pct_pass_v3,pct_pass_v4,pct_pass_v5,pct_pass_v6,pct_pass_v7,pct_pass_v8
T01,human,10,4.0,8,20.0,55.55555555555556,55.55555555555556,33.33333333333333,22.22222222222222,66.66666666666666,44.44444444444444,66.66666666666666,55.55555555555556
T02,human,10,2.6,8,20.0,50.0,30.0,30.0,30.0,30.0,20.0,40.0,30.0
T03,ai,30,7.931034482758621,8,90.0,100.0,100.0,100.0,93.10344827586206,100.0,100.0,100.0,100.0
T03,human,10,4.6,8,20.0,70.0,60.0,30.0,30.0,90.0,40.0,80.0,60.0
T04,human,10,4.3,8,10.0,70.0,70.0,50.0,20.0,60.0,40.0,60.0,60.0
T05,ai,30,7.7,8,83.33333333333334,100.0,100.0,93.10344827586206,96.55172413793103,96.55172413793103,100.0,100.0,100.0
T05,human,10,5.8,8,30.0,90.0,80.0,60.0,50.0,80.0,50.0,90.0,80.0
T06,human,10,4.9,8,20.0,80.0,70.0,50.0,40.0,70.0,40.0,80.0,60.0
T07,human,10,4.444444444444445,8,10.0,77.77777777777779,66.66666666666666,44.44444444444444,22.22222222222222,66.66666666666666,22.22222222222222,77.77777777777779,66.66666666666666
T08,human,10,3.5,8,0.0,50.0,50.0,40.0,40.0,50.0,20.0,60.0,40.0
T09,human,10,5.7,8,30.0,80.0,80.0,60.0,40.0,90.0,50.0,90.0,80.0
T10,ai,30,7.733333333333333,8,86.66666666666667,100.0,100.0,86.66666666666667,90.0,100.0,100.0,100.0,96.66666666666667
T10,human,10,6.333333333333333,8,10.0,100.0,88.88888888888889,77.77777777777779,33.33333333333333,88.88888888888889,55.55555555555556,100.0,88.88888888888889
T11,human,10,2.7777777777777777,8,10.0,55.55555555555556,44.44444444444444,22.22222222222222,22.22222222222222,22.22222222222222,33.33333333333333,44.44444444444444,33.33333333333333
T12,ai,30,7.642857142857143,8,66.66666666666666,100.0,100.0,85.71428571428571,92.85714285714286,100.0,85.71428571428571,100.0,100.0
T12,human,10,3.3,8,10.0,70.0,50.0,30.0,10.0,40.0,30.0,60.0,40.0
